ABINGDON-AVON CUSD 276,Illinois,IL ,1701413,    ,4,4,Knox County,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,Prekindergarten,12th Grade,964,71.54,13.47
ABINGTON,Massachusetts,MA ,2501650,    ,5,5,Plymouth County,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,Prekindergarten,12th Grade,2143,126.15,16.99
ABINGTON HEIGHTS SD,Pennsylvania,PA ,4202010,    ,6,6,Lackawanna County,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,Kindergarten,12th Grade,3425,220.5,15.53
ABINGTON SD,Pennsylvania,PA ,4202040,    ,9,9,Montgomery County,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,Kindergarten,12th Grade,8534,564.15,15.13
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM ,3500122,    ,1,1,Bernalillo County,7-Independent Charter District,11-City: Large,1st Grade,12th Grade,689,44.65,15.43
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM ,3500123,    ,1,1,Bernalillo County,7-Independent Charter District,11-City: Large,Kindergarten,12th Grade,103,11.01,9.36
ABRAMSON SCI ACADEMY,LOUISIANA,LA ,2200237,    ,1,1,Orleans Parish,7-Independent Charter District,11-City: Large,9th Grade,13th Grade,605,33,18.33
ABSAROKEE ELEM,Montana,MT ,3001710,    ,2,2,Stillwater County,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,Prekindergarten,8th Grade,127,11.7,10.85
ABSAROKEE H S,Montana,MT ,3001740,    ,1,1,Stillwater County,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,9th Grade,12th Grade,80,7.86,10.18
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ ,3400660,    ,2,2,Atlantic County,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,Prekindergarten,8th Grade,908,78,11.64
ACADEMIA ANTONIA ALONSO,Delaware,DE ,1000053,    ,1,1,New Castle County,7-Independent Charter District,21-Suburb: Large,Kindergarten,5th Grade,595,39,15.26
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CA ,602291,    ,1,1,Los Angeles County,7-Independent Charter District,11-City: Large,6th Grade,12th Grade,328,0,†
